name,spike,length,width,height,He,sd,U,err,Th,err,U,err,Th,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],232,[cps],235,[cps],230,[cps]
DUR35,0.0533,,,,0.7675,0.0058,25579.22926,608.9775273,304326.3051,4069.691458,150047.3541,1878.627382,177306.7637,2050.337543
DUR36,0.0539,,,,1.0069,0.007553807,30775.40956,591.8935491,391098.3672,3702.315207,146316.8006,2065.556508,173416.441,1823.748707
DUR37,0.0575,,,,1.0928,0.008149847,34765.47515,790.2099974,426161.3731,5234.92863,156392.8993,1984.572424,184810.6766,2145.242758
DUR38,0.0536,,,,0.4272,0.003420526,19642.03676,532.9684933,166539.4435,2455.611544,145480.3907,2266.13858,172545.575,2030.236144
B201,0.0537,182.8,97.2,91.4,0.0229,0.001272792,30746.01824,659.6044378,17448.05824,460.7898461,145999.4928,2030.116817,170652.8043,2447.04597
B202,0.0544,236.2,104.5,100.7,0.0445,0.001345362,38497.14897,760.631039,38813.22044,850.3922015,146931.2046,2326.729833,171214.8691,1894.095701
B203,0.0549,201.4,107.6,101,0.0213,0.001272792,31147.45059,604.1264439,13225.58221,389.6280758,148570.4763,1781.157787,173696.8307,2182.847736
B204,0.0542,171.4,87.8,87.5,0.0079,0.001272792,11405.67956,422.9852025,13802.53897,474.3767028,147949.3346,1726.841084,172175.7888,2483.222064
B205,0.0546,200.6,105.6,100.9,0.0214,0.001272792,41290.3525,1022.62244,21406.87618,480.9035833,148551.6531,2010.089141,174016.259,2440.588406
B206,0.055,265.5,92,90,0.0471,0.001345362,43377.31809,920.7505771,78101.82176,1293.749373,148947.9819,2301.942664,175141.8247,2025.830789
B207,0.0545,198.6,95.6,90.8,0.0156,0.001272792,25468.02088,574.9615647,12912.60765,394.8528912,147394.7622,1724.423152,173483.8949,2268.226561
B208,0.0536,258.3,102.2,90.4,0.055,0.001345362,67368.97147,1200.400801,38281.87044,719.9149719,145989.6135,2123.128972,171327.9088,2149.863505
B209,0.0538,207.3,110.5,101.6,0.0273,0.001272792,28139.91074,622.2612358,13180.39956,431.6987969,146291.1251,1586.852924,171632.7893,2504.921271
B210,0.0563,216.3,103.8,90.5,0.0145,0.001272792,29914.22544,666.8443248,18106.505,449.2450007,151700.7632,1859.991887,179485.3924,2162.24038
B211,0.0539,182,104.6,95.6,0.0122,0.001272792,23720.04765,538.4266122,5763.017794,265.6929972,145965.5338,1785.722972,170738.1562,2040.497841
B212,0.0545,224.2,118.7,110.6,0.0044,0.001272792,19841.84029,504.374717,25559.69574,619.4206896,145914.6088,2377.254779,172273.7141,1948.999068
B213,0.0537,232.2,101.8,95.2,0.1645,0.001802776,49744.23,950.7922135,55644.99676,1018.845917,145597.8728,1931.445722,169706.9596,2001.651349
B214,0.0542,231.5,121.9,110.7,0.0384,0.001345362,51531.03662,932.2453422,51000.38162,947.1954435,146486.5924,2000.5993,172991.0056,2093.339607
B215,0.0539,236.5,86.3,85.6,0.0407,0.001414214,62148.44515,1088.96543,21617.89294,492.0148549,147173.81,2015.123142,170097.9787,2153.352438
B216,0.0541,196.1,78.5,86.4,0.0268,0.001414214,32080.915,793.1686954,51751.67029,931.5989434,148003.6318,1945.575074,174355.1806,2016.679314
B217,0.0537,193.9,86.5,90.4,0.0011,0.001272792,9027.028824,295.2475606,4948.334853,213.3915594,145362.8675,1938.192178,170213.299,2128.067384
B218,0.0547,214.1,102,98.7,0.0214,0.001345362,43627.11324,943.5469939,41678.59882,735.9911962,146914.2969,2079.066302,173306.8428,1868.335789
B219,0.0546,209.5,107.2,102.4,0.015,0.001345362,21538.95441,533.0847885,7510.650441,250.899361,148984.4974,1947.013258,174924.3425,1985.502098
B220,0.0538,190.3,90.7,90,0.0108,0.001272792,23431.97721,552.1020528,22097.58794,509.8436237,145617.7353,2124.427446,171347.4849,2215.570777
