YR-1,O
279.49,3.82
418.48,5.89
271.03,5.49
230.73,3.28
1195.01,11.62
216.84,3.03
387.17,4.09
914.12,6.58
2437.9,13.73
471.24,4.47
405.6,4.14
228.05,3.09
740.46,6.08
2065.45,13.91
498.39,4.94
405.78,4.32
412.98,4.32
267.57,3.95
1579.72,12.75
446.51,4.36
421.74,4.68
417.15,4.2
224.07,3.03
436.22,4.13
231.04,2.9
492.3,4.82
272.51,3.45
467.65,4.36
1765.78,16.09
769.3,5.89
441.82,4.37
466.81,4.06
769.36,6.12
462.73,4.42
434.77,4.37
489.02,5.0
267.63,5.25
281.65,8.3
464.05,9.82
2433.51,17.39
420.53,9.48
220.27,7.82
481.9,9.45
249.3,8.25
282.7,9.23
461.59,9.46
763.23,10.59
462.19,9.22
459.97,9.1
440.07,9.29
469.21,9.75
1869.35,17.61
239.0,8.5
457.33,9.28
456.31,9.1
309.24,8.42
284.98,8.49
289.12,9.04
2506.94,18.76
332.0,10.37
472.32,10.05
457.21,9.88
2173.03,20.3
1809.79,19.14
1957.85,17.46
1777.58,17.2
1093.23,15.51
964.39,11.69
268.43,8.3
902.36,11.74
973.43,11.57
1646.24,22.07
501.19,10.1
232.53,8.13
803.71,10.45
1656.47,17.21
454.93,9.64
2508.27,19.37
300.2,8.85
482.62,9.39
1626.5,18.68
319.68,9.58
813.88,10.79
266.52,8.37
2412.87,19.51
1932.82,19.24
2303.12,18.77
1619.8,17.73
473.16,10.41
1538.15,18.97
1779.25,26.45
444.22,9.89
1792.77,18.6
420.65,9.48
897.15,11.63
2066.83,20.31
477.71,9.81
1668.8,19.41
2442.92,20.72
261.32,9.11
709.93,10.16
280.42,8.61
438.02,9.47
1623.9,18.61
30.16,7.27
434.11,8.93
879.29,11.25
417.81,9.17
257.98,8.25
1600.27,19.1
489.31,9.74
432.72,9.95
445.25,9.71
461.89,9.34
1585.27,18.74
2459.99,13.56
240.61,21.91
455.59,8.08
394.75,11.97
1778.25,20.67
1821.4,17.57
